-Q19164038	P304	"233–235, 246–248, 264–267"
-Q19164038	P433	"15–17"
Q62615411	P433	"6"	P304	"89–92"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P304	"113–116"	P433	"7"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P433	"7"	P304	"113–116"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P1433	Q655617	P304	"1–4"	P304	"21–26"	P304	"41–46"	P304	"57–60"	P304	"73–76"	P304	"89–92"	P304	"113–116"	P433	"1–7"	P577	+1880-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
-Q62615209	P304	"545–548, 561–566, 577–580"
-Q62615209	P433	"34–36"
Q62615209	P304	"545–548"	P433	"34"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/8cfa7eedb4362f0c5ba5f45235ca32fb2b20a96c"
Q62615209	P433	"34"	P304	"545–548"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/8cfa7eedb4362f0c5ba5f45235ca32fb2b20a96c"
Q62615209	P304	"561–566"	P433	"35"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/8cfa7eedb4362f0c5ba5f45235ca32fb2b20a96c"
Q62615209	P433	"35"	P304	"561–566"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/8cfa7eedb4362f0c5ba5f45235ca32fb2b20a96c"
Q62615209	P304	"577–580"	P433	"36"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/8cfa7eedb4362f0c5ba5f45235ca32fb2b20a96c"
Q62615209	P433	"36"	P304	"577–580"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/8cfa7eedb4362f0c5ba5f45235ca32fb2b20a96c"
Q62615209	P1433	Q655617	P304	"545–548"	P304	"561–566"	P304	"577–580"	P433	"34–36"	P577	+1880-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/8cfa7eedb4362f0c5ba5f45235ca32fb2b20a96c"
-Q62615418	P304	"285–288, 314–316, 330–332, 346–348, 362–364"
-Q62615418	P433	"18–22"
Q62615418	P304	"285–288"	P433	"18"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P433	"18"	P304	"285–288"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P304	"314–316"	P433	"19"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P433	"19"	P304	"314–316"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P304	"330–332"	P433	"20"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P433	"20"	P304	"330–332"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P304	"346–348"	P433	"21"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P433	"21"	P304	"346–348"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P304	"362–364"	P433	"22"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P433	"22"	P304	"362–364"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
Q62615418	P1433	Q655617	P304	"285–288"	P304	"314–316"	P304	"330–332"	P304	"346–348"	P304	"362–364"	P433	"18–22"	P577	+1880-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ea32e5564003a7ef99310012fc37c64368c1039c"
-Q62615509	P304	"745–748, 765–771, 781–784, 808–811"
-Q62615509	P433	"46–49"
Q62615509	P304	"745–748"	P433	"46"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P433	"46"	P304	"745–748"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P304	"765–771"	P433	"47"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P433	"47"	P304	"765–771"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P304	"781–784"	P433	"48"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P433	"48"	P304	"781–784"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P304	"808–811"	P433	"49"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P433	"49"	P304	"808–811"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
Q62615509	P1433	Q655617	P304	"745–748"	P304	"765–771"	P304	"781–784"	P304	"808–811"	P433	"46–49"	P577	+1880-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/f95ce2122b32f4307041fcad45c26dc90a575ec4"
-Q19207614	P304	"829–834, 845–848, 861–864"
-Q19207614	P433	"50–52"
